"","LOC","GO_IDs"
"1","LOC132713118","GO:0097190;GO:0140889;GO:0048144;GO:0008285;GO:0048147;GO:0045926;GO:0043065;GO:2001235;GO:0006473;GO:0051726;GO:0001558;GO:0050793;GO:2000278;GO:0006275;GO:0006355;GO:1903706"
"2","LOC132713474","GO:0010468"
"3","LOC132715395","NA"
"4","LOC132717148","NA"
"5","LOC132720785","GO:0030218;GO:0006954;GO:0045087;GO:0050728;GO:0035308;GO:1900181;GO:0034136;GO:0034144;GO:0070374;GO:0046330;GO:1900745;GO:0051897;GO:0034137;GO:0043030;GO:0034121;GO:0007165"
"6","LOC132720882","GO:0032543"
"7","LOC132722155","NA"
"8","LOC132722184","GO:0000724;GO:0090267;GO:0010824;GO:0031297;GO:0071139;GO:0071140"
"9","LOC132723766","NA"
"10","LOC132725056","GO:0007165"
"11","LOC132727157","GO:0035609;GO:0051607;GO:0035611;GO:0035608;GO:0035610;GO:0006508"
"12","LOC132728236","GO:0032968;GO:0016567;GO:0140958;GO:0006367;GO:0006511"
"13","LOC132729677","GO:0007099;GO:0051298;GO:0032053;GO:1903723;GO:1902018;GO:0045724;GO:0032465"
"14","LOC132729883","GO:0035344"
"15","LOC132730403","NA"
"16","LOC132730855","GO:0007015;GO:0060471;GO:0051656;GO:0051293;GO:0006887;GO:0040019;GO:0051302;GO:0050727;GO:0032879"
"17","LOC132731011","GO:0006355"
"18","LOC132731012","NA"
"19","LOC132732296","GO:0061621;GO:0030388;GO:0006002"
"20","LOC132732829","GO:0007052;GO:0051028;GO:0051984;GO:0007344;GO:0035046"
"21","LOC132732878","GO:0006281;GO:0006260;GO:0000724;GO:0042276"
"22","LOC132733016","NA"
"23","LOC132737163","GO:0033539"
"24","LOC132737737","NA"
"25","LOC132741452","GO:0043547;GO:0007165"
"26","LOC132741641","NA"
"27","LOC132742068","NA"
"28","LOC132745166","NA"
"29","LOC132745762","NA"
"30","LOC132745822","NA"
"31","LOC132746012","GO:0006351;GO:0045893;GO:0006355"
"32","LOC132746399","GO:0072383;GO:1901098"
"33","LOC132746437","GO:0045944"
"34","LOC132746792","GO:0050830;GO:0035556;GO:0006654;GO:0008654;GO:0009395;GO:0030335;GO:0032534;GO:0060627;GO:0043434"
"35","LOC132747103","NA"
"36","LOC132747234","NA"
"37","LOC132749309","GO:0032211"
"38","LOC132752133","GO:0051301;GO:0009953;GO:0032259;GO:0010628;GO:0043516;GO:0006357"
"39","LOC132752300","NA"
"40","LOC132757649","GO:1990090;GO:0032456;GO:0006897;GO:0031175;GO:0097320;GO:0036010;GO:0006612;GO:0015031;GO:0006898;GO:0032458"
"41","LOC132758254","GO:0030154;GO:0007283"
"42","LOC132758583","GO:0051315;GO:0051301;GO:0007059;GO:0051382;GO:0099607;GO:0051310;GO:0099606;GO:0007018;GO:0000278;GO:0007079;GO:0007080;GO:0007052;GO:0045860;GO:0030071"
"43","LOC132758975","NA"
"44","LOC132759052","GO:0006325;GO:0031452;GO:0007219;GO:0045893;GO:0006513"
"45","LOC132759372","NA"
"46","LOC132759609","GO:0044398;GO:0031640;GO:0016042;GO:0006644"
"47","LOC132759803","NA"
"48","LOC132760592","NA"
